29678,1983
29679,1983
29679,1984
29680,1984
29681,1984
29682,1984
29683,1984
29684,1984
29684,1985
29685,1985
29686,1985
29687,1985
29688,1985
29689,1985
29690,1985
29690,1986
29691,1986
29692,1986
29693,1986
29694,1986
29695,1986
29696,1986
29697,1986
29698,1986
29698,1987
29699,1987
29700,1987
29701,1987
29702,1987
29703,1987
29707,1283199
29708,1283205
29709,1283219
29710,1283233
29711,1283248
29712,1283262
29713,1283276
29714,1283290
29715,1283304
29716,1283318
29716,1283319
29717,1283333
29718,1283348
29719,1283362
29720,1283376
29721,1283390
29722,1283404
29723,1283418
29724,1283432
29725,1283446
29726,1283460
29727,1283474
29728,1283488
29729,1283502
29731,1283517
29732,1283530
29733,1283544
29734,1283558
29735,1283571
29736,1283585
29737,1283598
29738,1283611
29739,1283624
29740,1283637
29741,1283651
29742,1283664
29743,1283678
29744,1283691
29745,1283704
29746,1283718
29747,1283731
29748,1283746
29749,1283760
29750,1283774
29751,1283789
29752,1283803
29753,1283817
29754,1283831
29755,1283846
29756,1283860
29757,1283875
29758,1283889
29759,1283904
29760,1283918
29760,1283919
29761,1283934
29762,1283948
29763,1283962
29764,1283976
29764,1283977
29765,1283991
29766,1284005
29767,1284019
29767,1284020
29768,1284034
29784,6333205
29785,6333211
29785,6333212
29786,6333227
29787,6333241
29788,6333255
29789,6333269
29790,6333284
29790,6333298
29791,6333313
29792,6333327
29793,6333341
29794,6333355
29795,6333370
29796,6333385
29797,6333399
29798,6333413
29799,6333413
29800,6333413
29801,6333413
29802,6333413
29803,6333413
29804,6333413
29804,6333415
29805,6333415
29806,6333415
29806,6333416
29807,6333416
29808,6333416
29809,6333416
29810,6333416
29810,6333417
29811,6333417
29812,6333417
29813,6333417
29814,6333417
29815,6333417
29816,6333417
29816,6333418
29817,6333418
29817,6333419
29818,6333419
29819,6333419
29820,6333419
29821,6333419
29821,6333420
29822,6333421
29822,6333422
29823,6333422
29824,6333422
29825,6333423
29826,6333423
29827,6333423
29828,6333423
29829,6333423
29830,6333423
29831,6333423
29832,6333423
29833,6333423
29834,6333423
29835,6333423
